period_id,frame_idx,game_clock,wall_clock,live,last_touch_team_id,team_id,player_id,player_number,speed,x,y,z,ball_x,ball_y,ball_z,ball_speed
1,6,0.24,1649524084254,True,6900,1207,119644,2,0.82,-16.2,-19.31,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,427869,14,1.13,-15.68,15.62,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,246099,2,0.56,13.96,22.93,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,85601,6,0.26,20.04,-3.91,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,194730,8,0.87,14.44,-0.62,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,430360,9,0.92,-0.36,0.23,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,443002,4,0.77,18.18,-17.11,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,474038,17,2.08,1.06,-23.39,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,45215,7,0.9,0.29,15.93,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,174577,1,0.37,49.37,0.23,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,489381,5,0.59,10.89,6.46,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,421184,15,0.45,21.24,11.68,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,6900,78103,10,1.21,5.71,-8.3,0.0,3.16,-0.11,0.2,12.81
1,7,0.28,1649524084294,True,6900,1207,41700,3,1.19,-3.51,21.64,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,451375,40,2.3,-5.06,11.43,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,442451,20,1.21,-17.0,-5.58,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,229903,99,0.83,-1.04,-17.04,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,464785,31,1.05,-11.92,-1.08,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,244766,22,0.86,-16.74,3.45,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,471798,1,0.26,-49.23,-0.01,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,107091,11,2.77,0.38,8.98,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,169707,30,0.71,-6.53,-6.29,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,119644,2,0.86,-16.19,-19.34,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,1207,427869,14,1.14,-15.68,15.66,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,246099,2,0.6,13.95,22.94,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,85601,6,0.33,20.05,-3.92,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,194730,8,0.91,14.46,-0.59,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,430360,9,1.03,-0.4,0.23,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,443002,4,0.73,18.21,-17.12,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,474038,17,2.13,1.0,-23.43,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,45215,7,0.93,0.29,15.97,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,174577,1,0.36,49.36,0.21,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,489381,5,0.62,10.87,6.48,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,421184,15,0.5,21.22,11.68,0.0,3.7,-0.12,0.2,12.72
1,7,0.28,1649524084294,True,6900,6900,78103,10,1.31,5.67,-8.32,0.0,3.7,-0.12,0.2,12.72
1,8,0.32,1649524084334,True,6900,1207,41700,3,1.34,-3.46,21.65,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,451375,40,2.43,-4.97,11.43,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,229903,99,0.87,-1.01,-17.02,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,442451,20,1.19,-16.99,-5.63,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,464785,31,1.14,-11.88,-1.05,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,244766,22,0.85,-16.73,3.48,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,471798,1,0.36,-49.22,-0.01,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,107091,11,2.98,0.48,8.92,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,169707,30,0.76,-6.5,-6.28,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,119644,2,0.9,-16.18,-19.38,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,1207,427869,14,1.09,-15.69,15.71,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,246099,2,0.65,13.92,22.96,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,85601,6,0.37,20.05,-3.93,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,194730,8,0.95,14.49,-0.56,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,430360,9,1.13,-0.45,0.23,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,474038,17,2.1,0.93,-23.48,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,443002,4,0.74,18.24,-17.13,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,45215,7,0.88,0.29,16.0,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,174577,1,0.35,49.35,0.21,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,489381,5,0.62,10.85,6.49,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,421184,15,0.45,21.2,11.68,0.0,4.22,-0.13,0.19,12.63
1,8,0.32,1649524084334,True,6900,6900,78103,10,1.4,5.62,-8.35,0.0,4.22,-0.13,0.19,12.63
1,9,0.36,1649524084374,True,6900,1207,41700,3,1.41,-3.4,21.65,0.0,4.76,-0.14,0.19,12.54
1,9,0.36,1649524084374,True,6900,1207,451375,40,2.58,-4.87,11.42,0.0,4.76,-0.14,0.19,12.54
